custid,region,townsize,gender,age,agecat,birthmonth,bday,byear,ed,edcat,jobcat,union,employ,income,empcat,retire,lninc,inccat,debtinc,creddebt,lncreddebt,othdebt,lnothdebt,default,jobsat,marital,spoused,spousedcat,reside,pets,pets_cats,pets_dogs,pets_birds,pets_reptiles,pets_small,pets_saltfish,pets_freshfish,homeown,hometype,address,addresscat,cars,carown,cartype,carvalue,carcatvalue,carbought,carbuy,commute,commutecat,commutetime,commutecar,commutemotorcycle,commutecarpool,commutebus,commuterail,commutepublic,commutebike,commutewalk,commutenonmotor,telecommute,reason,polview,polparty,polcontrib,vote,card,cardtype,cardbenefit,cardfee,cardtenure,cardtenurecat,card2,card2type,card2benefit,card2fee,card2tenure,card2tenurecat,carditems,cardspent,card2items,card2spent,active,bfast,tenure,churn,longmon,lnlongmon,longten,lnlongten,tollfree,tollmon,lntollmon,tollten,lntollten,equip,equipmon,lnequipmon,equipten,lnequipten,callcard,cardmon,lncardmon,cardten,lncardten,wireless,wiremon,lnwiremon,wireten,lnwireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,owntv,hourstv,ownvcr,owndvd,owncd,ownpda,ownpc,ownipod,owngame,ownfax,news,response_01,response_02,response_03,bmnth
0758-EQEGIQ-3OF,1,1,1,57,5,October,16,48,17,4,4,0,24,171,5,0,5.14166355650266,5,9.5,1.803195,0.589560091451261,14.441805,2.67012712565283,0,5,1,16,3,3,1,0,1,0,0,0,0,0,1,1,8,3,2,1,1,75.8,3,0,1,1,1,19,1,1,0,0,0,0,0,0,0,0,9,5,1,0,0,4,1,1,0,19,5,3,2,4,0,13,4,14,305.94,4,96.23,1,3,48,0,4.15,1.42310833424261,214.85,5.369940110221,1,28.75,3.35863776724336,1444.65,7.27562235667498,1,43.15,3.76468241752944,1990.25,7.59601553796869,1,29.25,3.37587957367787,1315,7.18159194461187,1,40.2,3.69386699562498,1840.45,7.51776538591923,0,1,1,3,1,1,0,1,1,1,17,1,1,1,1,1,1,1,1,0,0,0,1,10
0649-TBFJFL-QU4,5,2,0,63,5,May,13,51,14,2,6,1,29,424,5,0,6.04973345523196,5,10.7,13.111352,2.57347841984202,32.256648,3.47372416153283,0,4,1,20,5,2,0,0,0,0,0,0,0,0,1,3,29,5,3,1,0,88.6,3,0,1,1,1,29,1,0,0,0,1,0,0,0,0,1,9,3,0,0,1,3,3,2,0,36,5,2,3,3,1,29,5,10,495.75,10,798.31,0,1,70,0,34.8,3.54961738678043,2540.15,7.83997841338701,1,45.25,3.81220267014594,3165.45,8.06005050456643,0,0,#NULL!,0,#NULL!,1,19.75,2.98315349134713,1325,7.18916773842032,0,0,#NULL!,0,#NULL!,1,1,0,0,1,0,1,1,1,1,24,1,1,1,0,0,0,0,0,1,0,0,0,5
2228-KOLOPU-FY3,5,5,1,28,3,April,18,55,11,1,1,0,4,23,2,0,3.13549421592915,1,4.8,0.190992,-1.65552373662945,0.913008,-0.0910106361035421,0,1,1,12,2,3,10,1,0,0,0,0,0,9,1,1,5,2,0,-1,-1,-1,-1,-1,1,4,3,30,0,0,0,1,0,0,0,0,0,1,9,5,1,0,0,2,2,4,0,10,3,3,3,3,0,10,3,17,442.09,7,144.69,1,1,34,0,3.45,1.23837423104327,110.45,4.70456292986613,1,33,3.49650756146648,1099.65,7.00274722633771,0,0,#NULL!,0,#NULL!,1,16.5,2.80336038090653,545,6.30078579466324,0,0,#NULL!,0,#NULL!,0,0,0,0,1,1,1,1,0,1,16,1,1,1,1,0,0,0,0,0,1,0,0,4
3853-NVDCOJ-TIN,1,1,1,78,6,June,15,57,16,3,1,0,10,22,3,1,3.09104245335832,1,15.2,0.692208,-0.367868790494313,2.651792,0.975235637875166,0,3,0,-1,-1,1,0,0,0,0,0,0,0,0,0,1,29,5,2,1,1,10.8,1,0,1,3,2,23,1,0,1,0,0,0,0,0,0,0,9,2,0,1,0,2,3,1,0,10,3,3,2,2,0,7,3,1,8.11,0,0,1,1,14,0,7.3,1.98787434815435,85.6,4.4496852831477,0,0,#NULL!,0,#NULL!,1,24.85,3.21285775254264,341.75,5.83407947560406,1,31.75,3.4578927253387,350,5.85793315448346,0,0,#NULL!,0,#NULL!,1,0,0,1,0,0,0,0,1,1,22,1,1,0,0,1,1,0,0,0,0,0,0,6
0765-UXAFYM-PDR,3,3,0,61,5,June,17,46,16,3,1,0,4,35,2,0,3.55534806148941,2,10.1,1.233715,0.210029942568826,2.301285,0.833467662574968,0,3,1,12,2,2,0,0,0,0,0,0,0,0,0,2,29,5,4,0,0,9.4,1,1,0,1,1,34,1,0,0,1,0,0,0,0,0,0,9,2,0,0,0,1,4,1,0,27,5,4,2,3,0,15,4,8,271.98,7,240.38,0,3,53,0,11.2,2.41591377830105,567.05,6.34044748326134,0,0,#NULL!,0,#NULL!,0,0,#NULL!,0,#NULL!,1,9.5,2.2512917986065,480,6.17378610390194,0,0,#NULL!,0,#NULL!,0,1,0,1,1,1,1,1,0,1,25,1,1,1,0,1,1,1,0,0,0,0,0,6
9937-SFPLRK-H9Y,2,4,0,70,6,September,14,53,17,4,2,1,2,28,2,0,3.3322045101752,2,9.3,1.195236,0.178343655424731,1.408764,0.342712724210667,0,1,1,17,4,2,9,0,0,1,0,0,0,8,0,2,14,3,5,1,0,15.7,1,0,1,1,1,29,1,0,0,0,0,0,0,0,0,0,9,6,1,0,1,1,1,3,1,26,5,4,2,4,0,17,5,8,267.71,3,79.54,1,2,59,1,14.25,2.65675690671466,805.8,6.69183557275725,1,23.5,3.15700042115011,1366.65,7.22011776882798,0,0,#NULL!,0,#NULL!,1,15.25,2.72457950305342,840,6.73340189183736,0,0,#NULL!,0,#NULL!,1,0,1,3,0,1,0,1,0,1,21,1,1,1,0,1,0,1,0,0,0,1,0,9
0712-WQXYVV-HUP,4,1,0,61,5,April,15,50,14,2,6,0,18,12,5,1,2.484906649788,1,21.5,0.56502,-0.57089415023211,2.01498,0.700609269791075,0,5,0,-1,-1,1,0,0,0,0,0,0,0,0,1,3,12,3,3,1,0,5.8,1,1,0,4,3,25,1,0,0,1,0,0,0,0,0,0,9,3,1,0,0,1,1,2,0,24,5,3,3,1,0,22,5,10,245.03,4,63.63,0,2,61,0,8.35,2.12226153886276,476.95,6.16741166359122,0,0,#NULL!,0,#NULL!,1,29.1,3.37073817417745,1790.8,7.49041772636681,1,11.5,2.4423470353692,675,6.51471269087253,0,0,#NULL!,0,#NULL!,0,0,0,3,0,1,0,0,0,1,13,1,0,1,0,1,0,1,0,0,0,0,0,4
6441-FJUWZQ-7G8,3,4,0,37,4,August,14,49,11,1,1,1,2,29,2,0,3.36729582998647,2,15.7,3.319137,1.19970480937917,1.233863,0.210149898250209,1,3,0,-1,-1,1,0,0,0,0,0,0,0,0,0,2,10,3,0,-1,-1,-1,-1,-1,1,5,3,29,0,0,0,1,1,0,0,0,0,0,9,4,0,0,0,5,1,2,1,12,4,4,2,2,0,11,4,17,556.61,7,187.47,1,1,39,0,13.1,2.57261223020711,504.45,6.22346872685439,1,28.5,3.3499040872746,1028.1,6.93546771754867,1,43.5,3.77276093809464,1663.95,7.41694957285278,1,10.5,2.35137525716348,380,5.94017125272043,1,31.5,3.44998754583159,1199.2,7.08940994678839,1,1,1,4,1,1,1,1,1,1,21,0,1,1,1,1,1,1,0,1,0,0,0,8
7634-AVNEXZ-7AG,1,3,0,39,4,October,12,52,12,2,1,0,5,130,2,0,4.86753445045558,5,11.3,4.68611,1.54460281398849,10.00389,2.30297401735316,0,5,1,14,2,4,5,0,0,0,0,0,0,5,1,1,12,3,2,1,0,49.2,3,1,0,1,1,32,1,0,0,1,1,0,0,0,0,0,9,1,1,1,1,4,4,4,1,2,2,3,2,2,0,1,1,12,453.74,5,245.14,0,1,6,0,1.5,0.405465108108164,11.15,2.41143949790613,1,13.25,2.58399755243223,93,4.53259949315326,0,0,#NULL!,0,#NULL!,1,24.5,3.19867311755068,140,4.9416424226093,0,0,#NULL!,0,#NULL!,0,0,0,1,1,0,1,1,0,1,32,1,1,1,0,1,1,0,0,0,0,0,0,10
2041-PNMGHX-TXJ,4,3,1,73,6,November,10,48,14,2,3,0,28,69,5,1,4.23410650459726,3,14.8,1.164168,0.152006668791596,9.047832,2.20252517100218,0,3,1,15,3,2,0,0,0,0,0,0,0,0,0,2,38,5,1,1,1,22.8,2,1,0,1,1,27,1,0,0,1,0,0,0,1,0,0,9,5,0,0,0,2,2,3,0,32,5,3,2,4,1,24,5,6,212.67,2,80.44,0,3,62,0,25.45,3.23671574299653,1565.6,7.35602441608187,1,17.75,2.87638551592142,1031.4,6.93867238161686,1,47.15,3.85333400907947,2874.15,7.96351225734382,1,10,2.30258509299405,595,6.38856140554563,1,53.2,3.9740583963476,3245.6,8.08505551189224,1,1,1,2,1,1,1,1,1,1,22,1,1,1,1,1,1,1,0,1,0,0,0,11
4626-BQZAUJ-V9K,5,4,1,26,3,June,19,44,16,3,2,0,0,24,1,0,3.17805383034795,1,11.7,1.297296,0.260282098263166,1.510704,0.412575767343212,1,2,1,17,4,6,1,0,1,0,0,0,0,0,0,2,5,2,4,0,0,9.8,1,0,0,1,1,27,1,0,0,0,0,0,0,0,0,0,9,6,1,1,0,4,1,1,1,8,3,1,2,3,0,4,2,14,447.67,5,101,1,3,26,1,5.8,1.75785791755237,149.4,5.00662727269872,0,0,#NULL!,0,#NULL!,1,27.05,3.29768700529249,728.55,6.59105625745986,1,5.5,1.70474809223843,145,4.97673374242057,0,0,#NULL!,0,#NULL!,1,0,0,4,0,0,0,0,1,1,17,1,1,1,0,1,1,1,1,0,0,0,0,6
2969-ODPCDX-5DC,2,1,1,24,2,April,14,51,17,4,6,0,1,29,1,0,3.36729582998647,2,14,1.39258,0.331158141797444,2.66742,0.981111713116115,1,1,0,-1,-1,1,12,0,1,0,0,0,0,11,1,1,4,2,0,-1,-1,-1,-1,-1,0,10,5,14,0,0,1,0,0,0,1,1,0,1,9,6,0,1,1,4,1,4,0,5,2,3,3,1,0,5,2,11,279.95,1,24.55,1,1,11,1,3.95,1.37371557891303,42.4,3.74714836223791,0,0,#NULL!,0,#NULL!,1,19.65,2.97807733831527,172.75,5.15184546264778,0,0,#NULL!,0,#NULL!,0,0,#NULL!,0,#NULL!,0,0,0,0,0,0,0,0,0,1,13,1,1,1,0,0,1,1,0,0,0,1,0,4
4974-FUBHDF-Z7L,3,1,1,77,6,May,13,55,15,3,1,0,26,11,5,1,2.39789527279837,1,10.2,0.255816,-1.36329684292719,0.866184,-0.143657921856856,0,5,0,-1,-1,1,2,0,2,0,0,0,0,0,1,4,57,5,2,1,0,3.1,1,0,0,1,1,21,1,0,0,1,1,0,0,0,0,0,9,2,1,1,0,2,1,1,0,39,5,4,4,1,0,30,5,10,194.95,5,107.06,1,2,72,0,89.45,4.49367980995473,6495.7,8.77889569850907,1,75.5,4.32413265625498,5310.55,8.57745068702656,0,0,#NULL!,0,#NULL!,1,40.75,3.70745583968687,2865,7.96032362914884,0,0,#NULL!,0,#NULL!,1,0,0,0,1,1,0,0,0,1,23,1,1,1,0,0,0,0,0,1,0,0,0,5
2525-OSULNV-0KS,5,3,0,36,4,March,17,60,19,4,1,1,3,30,2,0,3.40119738166216,2,15.5,0.41385,-0.882251689650732,4.23615,1.44365483787709,0,4,0,-1,-1,1,7,0,0,0,0,0,0,7,1,3,16,4,3,1,0,13.1,1,0,1,1,1,24,1,1,0,0,0,0,0,0,0,0,9,1,1,1,1,1,1,3,0,10,3,2,1,4,0,11,4,11,300.97,6,178.9,0,3,37,0,6.7,1.90210752639692,233.85,5.4546798841719,0,0,#NULL!,0,#NULL!,0,0,#NULL!,0,#NULL!,0,0,#NULL!,0,#NULL!,0,0,#NULL!,0,#NULL!,0,0,0,2,0,0,0,0,0,1,15,1,1,1,0,1,1,1,0,0,0,0,0,3
4973-FHPBZQ-AAA,3,5,0,55,5,December,10,52,14,2,3,0,23,80,5,0,4.38202663467388,4,6.5,0.0312,-3.4673371841667,5.1688,1.64264055326182,0,5,0,-1,-1,1,9,2,0,0,0,0,0,7,1,3,27,5,4,1,0,35,2,0,1,1,1,25,1,0,1,1,0,0,0,0,1,0,9,6,0,0,0,2,4,3,1,21,5,4,3,2,0,17,5,11,394.02,3,71.41,0,1,47,0,12.25,2.50552593699074,524.4,6.26225475188955,0,0,#NULL!,0,#NULL!,0,0,#NULL!,0,#NULL!,1,22.25,3.10234200861225,1000,6.90775527898214,0,0,#NULL!,0,#NULL!,0,0,0,0,0,0,1,1,0,1,25,1,1,1,0,1,0,1,0,1,0,1,0,12
4726-RQKGNB-WAK,2,2,1,60,5,March,13,59,18,4,1,0,13,51,4,0,3.93182563272433,3,7.8,1.209312,0.190051602855865,2.768688,1.01837356178406,0,5,1,13,2,2,2,2,0,0,0,0,0,0,0,2,27,5,2,1,0,25.2,2,0,1,1,1,26,1,0,1,1,0,0,0,0,0,0,9,6,1,1,0,4,2,2,0,38,5,2,4,3,1,29,5,9,112.47,2,44.52,1,3,71,0,36.35,3.59319420397953,2586.85,7.85819619828621,1,51.25,3.93671561801852,3624.85,8.19556818712228,1,55.15,4.01005674569951,4064.25,8.30998450311433,1,28.5,3.3499040872746,2090,7.64491934495886,1,55.8,4.02177386938727,3819.5,8.24787480298141,1,1,1,4,0,0,1,0,1,1,20,1,1,1,0,1,1,1,1,1,0,0,1,3
6592-QBSENI-6Y4,1,1,1,59,5,February,14,56,8,1,2,1,4,30,2,0,3.40119738166216,2,2.8,0.26292,-1.33590547558676,0.57708,-0.549774373904566,0,5,1,10,1,4,1,0,1,0,0,0,0,0,0,2,6,2,0,-1,-1,-1,-1,-1,1,4,3,15,0,0,0,1,0,0,0,0,0,0,9,4,1,1,0,2,1,1,1,2,2,1,2,2,1,1,1,11,342.17,4,101.97,0,1,3,0,5.5,1.70474809223843,19.35,2.96269241947579,1,19.75,2.98315349134713,52.6,3.96271611974366,0,0,#NULL!,0,#NULL!,1,30,3.40119738166216,45,3.80666248977032,0,0,#NULL!,0,#NULL!,0,0,0,0,1,1,1,1,0,1,29,1,1,0,0,0,0,0,0,0,0,0,0,2
